0,00942247954200165
0,00815781702598172
-0,00994850816508243
0,00389073836277319
0,00869219205116791
0,0136450692989734
0,0145949214532393
0,00764666737653703
-0,0190955006906647
0,0173039612310395
0,00404516392610852
-0,000853462417384413
-0,00118049284487187
-0,0113041093255388
-0,00517623440983133
-0,000700325770135034
-0,000280573012142073
0,0137881551521794
-0,0160417772088602
0,0131717576074342
-0,0213543534309772
0,0159078899153355
0,0129328058792196
-0,00949599812862714
0,00114323804684055
-0,000584242645744857
0,00286454078355525
-0,0040341691251763
0,0110930120325622
0,00159322399122374
-0,00290274522008271
-0,000945274504248308
-0,0266318501347749
-0,0154244291595441
-0,00964555118823726
0,0174187540289005
0,00778647277545994
0,00412754734753985
0,00491715665960595
0,000770619684959754
-0,000249544861763965
0,00134472106854001
-0,00797715021068799
-0,00257935561942012
-0,00582774661458079
-0,0120276674381348
-0,0234607532550391
0,00291446881654703
0,0264694335459101
-0,00337003323310909
0,0124421439076534
0,013057564156372
-0,00132775860256149
0,00118690042898495
-0,000366974738297032
0,0226572479090912
-0,00869443719946051
0,0127940618142549
0,00598120771388762
-0,0214520434968237
0,012966714235246
-0,0102889848337854
-0,0135738318379226
-0,00518257138612176
-0,00467970399971416
-0,0216139769649005
0,00116684385904681
0,000626071518582262
0,0237472224904484
0,00102523630879458
4,64825764856217E-05
-0,00765460756220639
0,00024775523290563
-0,00558121471580829
-0,00706005324198496
-0,00509802745605879
0,0140628054605346
0,00484338667285736
0,00984913525856487
0,00952536532958278
0,0150630606948661
-0,013293328615846
0,00881919563314128
0,0143455198639561
-0,013498716561011
0,00955549268054353
0,00558795919434236
-0,007352368669118
-0,0160521434476433
0,0842216595318811
0,161219861663895
0,136058241633822
0,133546512582718
0,237998777555862
0,142654016478222
0,181616512789348
0,0826895141692745
0,16446071718336
